21:19:44 25/03/2022                                                          Resp.: valter
                  Período: 25/03/2018 á 25/03/2022

| CÓDIGO |         DESCRIÇÃO          |    TIPO    |   ORIGEM   |  DESTINO   |  QTD   |    DATA    |
+--------+----------------------------+------------+------------+------------+--------+------------+
| 152071 | ESCALA 72 PC FM/BM INTERC. |   Saída    |  Impresso  |  Externo   |   9    | 2020-08-10 |
| 152072 | ESCALA 96 PC FM/BM INTERC. |   Saída    |  Impresso  |  Externo   |   8    | 2020-08-10 |
| 152071 | ESCALA 72 PC FM/BM INTERC. |   Saída    |  Impresso  |  Externo   |   80   | 2020-08-10 |
| 152071 | ESCALA 72 PC FM/BM INTERC. |  Entrada   |  Externo   |  Impresso  |   80   | 2020-08-10 |
| 152078 |       ESCALA 144 PI        |   Saída    | Retrabalho |  Externo   |   47   | 2020-08-11 |
| 152071 | ESCALA 72 PC FM/BM INTERC. | Transferên |  Imprimir  |  Impresso  |   32   | 2020-08-11 |
| 152072 | ESCALA 96 PC FM/BM INTERC. | Transferên |  Imprimir  |  Impresso  |   8    | 2020-08-11 |
| 151119 | PAINEL FRONTAL TRANSDUT. C | Transferên |  Imprimir  |  Impresso  |   40   | 2020-08-11 |
| 151119 | PAINEL FRONTAL TRANSDUT. C | Transferên |  Imprimir  |  Impresso  |   8    | 2020-08-11 |
| 151119 | PAINEL FRONTAL TRANSDUT. C | Transferên |  Imprimir  |  Impresso  |   2    | 2020-08-11 |
| 151210 | PAINEL FRONTAL TRANSDUTOR  |   Saída    |  Impresso  |  Externo   |   1    | 2020-08-11 |
| 151119 | PAINEL FRONTAL TRANSDUT. C |   Saída    |  Impresso  |  Externo   |   6    | 2020-08-11 |
| 151118 | PAINEL FRONTAL TRANSD. DC/ |   Saída    |  Impresso  |  Externo   |   9    | 2020-08-11 |
| 152071 | ESCALA 72 PC FM/BM INTERC. |   Saída    |  Impresso  |  Externo   |   41   | 2020-08-11 |
